gene_name,cell_type,mean_effect,n_cell_lines
AMBN,T_cell_CD8,-0.10414,5
AMBP,T_cell_CD8,-0.11884,5
AMBRA1,T_cell_CD8,-0.45379,5
AMD1,T_cell_CD8,-0.30268,5
AMDHD1,T_cell_CD8,-0.04093,5
AMDHD2,T_cell_CD8,-0.07515,5
AMELX,T_cell_CD8,0.14353,5
AMER1,T_cell_CD8,0.14326,5
AMER2,T_cell_CD8,-0.01419,5
AMER3,T_cell_CD8,0.04278,5
AMFR,T_cell_CD8,-0.16013,5
AMH,T_cell_CD8,-0.00016,5
AMHR2,T_cell_CD8,-0.07163,5
AMIGO1,T_cell_CD8,0.10586,5
AMIGO2,T_cell_CD8,0.06787,5
AMIGO3,T_cell_CD8,-0.02137,5
AMMECR1,T_cell_CD8,0.05833,5
AMMECR1L,T_cell_CD8,-0.04504,5
